CompanyId,ShareClassId,Symbol,ExchangeId,CurrencyId,Valoren,CUSIP,ISIN,IPODate,IsDepositaryReceipt,DepositaryReceiptRatio,SecurityType,ShareClassDescription,ShareClassStatus,IsPrimaryShare,IsDividendReinvest,IsDirectInvest,InvestmentId,IPOOfferPrice,DelistingDate,DelistingReason,MIC,CommonShareSubType,IPOOfferPriceRange,ExchangeSubMarketGlobalId,ConversionRatio,ActiveOrDelisted
0C00000LX8,0P00006Y2P,FIT,ASX,AUD,,,AU000000FIT5,2003-10-10,0,,ST00000001,,D,1,0,,F0000001AU,,2016-01-04,Other events,XASX,,,,1.000000000,Delisted
0C00000LX9,0P00006WOZ,MWC,ASX,AUD,,,AU000000MWC8,1993-11-25,0,,ST00000001,,D,1,,,E0AUS01Q8U,,2012-04-01,Other events,XASX,,,,1.000000000,Delisted
0C00000LXA,0P00006WP0,MOD,ASX,AUD,,,AU000000MOD3,1986-12-18,0,,ST00000001,,D,0,0,,E0AUS01H8Z,,2019-10-30,Other events,XASX,,,,1.000000000,Delisted
0C00000LXB,0P0001PJP0,MVPO,ASX,AUD,,,AU0000235210,2022-08-05,0,,ST00000008,Warrants (30/09/2024),D,0,,,F00001EA8B,,2024-09-24,Other events,XASX,,,,,Delisted
0C00000LXC,0P0001OB85,RDNO,ASX,AUD,,,AU0000204539,2022-01-18,0,,ST00000008,Warrants (31/12/2023),D,0,,,F00001DD2Q,,2023-12-21,Other events,XASX,,,,,Delisted
0C00000LXC,0P0001Q2RD,RDNOA,ASX,AUD,,,AU0000246670,2022-11-16,0,,ST00000008,Warrants (30/11/2024),D,0,,,F00001EQ2Y,,2024-11-25,Other events,XASX,,,,,Delisted
0C00000LXD,0P0001MFAN,AN1OA,ASX,AUD,,,AU0000198145,2021-03-22,0,,ST00000008,Warrants (01/04/2023),D,0,,,F0000170R1,,2023-03-27,Other events,XASX,,,,,Delisted
0C00000LXE,0P00006Y2S,MGZNA,ASX,AUD,,,AU0000MGZNA3,2004-02-06,0,,ST00000001,,D,0,,,F0000001AR,,2010-11-30,Assimilation,XASX,,,,1.000000000,Delisted
0C00000LXE,0P0000PT41,MGZ,ASX,AUD,,,AU000000MGZ2,2004-02-05,0,,ST00000001,,D,1,0,,F00000JPMO,,2021-03-02,Other events,XASX,,,,1.000000000,Delisted
0C00000LXF,0P00006WP2,MTR,ASX,AUD,,,,1994-01-21,0,,ST00000001,,D,1,,,E0AUS01NPK,,2014-09-25,Acquired,XASX,,,,1.000000000,Delisted
0C00000LXG,0P00006Y2T,MDV,ASX,AUD,,,AU000000MDV8,1993-11-12,0,,ST00000001,,D,1,0,,F0000001AQ,,2016-10-03,Other events,XASX,,,,1.000000000,Delisted
0C00000LXH,0P00006Y2U,X64,ASX,AUD,,,AU0000221418,2003-12-23,0,,ST00000001,,D,0,0,,F0000001AP,,2025-07-22,Other events,XASX,,,,1.000000000,Delisted
0C00000LXJ,0P00006WP4,MHI,ASX,AUD,,,,1994-10-31,0,,ST00000001,,D,1,1,,E0AUS01C9F,,2025-08-29,Other events,XASX,,,,1.000000000,Delisted
