Gcode,CompanyTicker,SecurityTicker,SeniorSecurity,SecurityType,AbreviatedSecurityDescription,ListDate_YMD,DelistDate_YMD,ListDate_DaysSince,DelistDate_DaysSince,ListDate,DelistDate,RecordCount,FullCompanyName,AbbrevCompanyName,EarliestListDate,LatestDelistDate,GICSIndustry,SIRCAIndustryClassCode,SIRCASectorCode,CompanyDelistReasonCode,CompanyRelatedGCode,CompanyDelistReasonComment,AlteredLink,MS_CompanyID,MS_SecurityID,MS_CompanyID2,MS_SecurityID2,MA_Identifier
14d1,14D,14D,1,01,ordinary,20180912,,43355,,12/09/2018,,1567,1414 DEGREES LIMITED,1414 DEGREES LIMITED,12/09/2018,,20100000,4,20,,,,,0C0000BH9J,0P0001DWIR,,,14D
1ad1,1AD,1AD,1,01,ordinary,20160822,,42604,,22/08/2016,,1675,ADALTA LIMITED,ADALTA LIMITED,22/08/2016,,35200000,15,35,,,,,0C0000B5A2,0P00018JPY,,,1AD
1ae1,1AE,1AE,1,01,ordinary,20220518,,44699,,18/05/2022,,634,AURORA ENERGY METALS LIMITED,AURORAENERGYMETALS,18/05/2022,,15104000,3,15,,,,,0C0000CHCK,0P0001P4BI,,,1AE
1al1,1AL,1AL,1,01,ordinary,20151203,20200817,42341,44060,03/12/2015,17/08/2020,315,ONEALL INTERNATIONAL LIMITED,ONEALL IN LIMITED,03/12/2015,17/08/2020,25200000,8,25,R;L,,,,0C0000B0I7,0P00016W03,,,1AL
1gov1,1GO,1GOV,1,07,etf units,20230928,,45197,,28/09/2023,,223,VANECK 1-5 YEAR AUSTRALIAN GOVERNMENT BOND ETF,VANECK 1-5 YR GOV,28/09/2023,,0,26,70,,,,,,,,,1GOV
1st1,1ST,1ST,1,01,ordinary,20150609,20161208,42164,42712,09/06/2015,08/12/2016,282,1ST AVAILABLE LTD,1ST AVAILABLE LTD,09/06/2015,,35100000,14,35,N,,,,0C0000AWUR,0P0001608U,,,VFX
1st1,1ST,1ST,1,01,ordinary,20161209,20231031,42713,45230,09/12/2016,31/10/2023,1199,1ST GROUP LIMITED,1ST GROUP LTD,09/06/2015,,35100000,14,35,N,,,,0C0000AWUR,0P0001608U,,,VFX
1st1,VFX,VFX,1,01,ordinary,20231101,,45231,,01/11/2023,,149,VISIONFLEX GROUP LIMITED,VISIONFLEX GROUP LTD,09/06/2015,,35100000,14,35,,,,,0C0000AWUR,0P0001608U,,,VFX
1vg1,1VG,1VG,1,01,ordinary,20210722,20221123,44399,44888,22/07/2021,23/11/2022,302,VICTORY GOLDFIELDS LIMITED,VICTORY GOLDFIELDS,22/07/2021,,15104000,3,15,N,,,,0C00000W9U,0P0001MZ5C,,,VTM
1vg1,VTM,VTM,1,01,ordinary,20221124,,44889,,24/11/2022,,517,VICTORY METALS LIMITED,VICTORY METALS LTD,22/07/2021,,15104000,3,15,,,,,0C00000W9U,0P0001MZ5C,,,VTM
2181,218,218,1,01,nsx - ordinary,20200831,,44074,,31/08/2020,,0,ROFINA GROUP LIMITED,ROFINA GROUP LIMITED,31/08/2020,,0,26,70,,,,,0C0000BYBH,0P0001KMR1,,,
29m1,29M,29M,1,01,ordinary,20210702,,44379,,02/07/2021,,883,29METALS LIMITED,29METALSLIMITED,02/07/2021,,15104000,3,15,,,,,0C0000C6QR,0P0001MTJR,,,29M
2be1,2BE,2BE,1,01,ordinary,20190614,20230411,43630,45027,14/06/2019,11/04/2023,366,TUBI LIMITED,TUBI LIMITED,14/06/2019,11/04/2023,10100000,1,10,E,,after two years of suspension,,0C0000BN0B,0P0001HR53,,,2BE
3601,360,360,1,01,cdi3:1 usprohexclqib,20190510,,43595,,10/05/2019,,1425,LIFE360 INC.,LIFE360 INC.,10/05/2019,,45100000,21,45,,,,,0C0000BMIN,0P0001HFR6,,,360
3da1,3DA,3DA,1,01,ordinary,20191206,,43805,,06/12/2019,,1259,AMAERO INTERNATIONAL LTD,AMAERO INTERNATIONAL,06/12/2019,,20100000,4,20,,,,,0C0000BQWO,0P0001IVCP,,,3DA
3mf1,3MF,3MF,1,01,ordinary,20210302,20230516,44257,45062,02/03/2021,16/05/2023,347,3D METALFORGE LIMITED,3D METALFORGE,02/03/2021,29/08/2023,20200000,5,20,C,,,,0C0000C1WN,0P0001LOQ7,,,3MF
3mf1,3MF,3MFDA,1,01,deferred settlement,20230517,20230613,45063,45090,17/05/2023,13/06/2023,1,3D METALFORGE LIMITED,3D METALFORGE,02/03/2021,29/08/2023,20200000,5,20,C,,,,0C0000C1WN,0P0001LOQ7,,,3MF
3mf1,3MF,3MF,1,01,ordinary,20230614,20230829,45091,45167,14/06/2023,29/08/2023,0,3D METALFORGE LIMITED,3D METALFORGE,02/03/2021,29/08/2023,20200000,5,20,F,,,,0C0000C1WN,0P0001LOQ7,,,3MF
4dx1,4DX,4DX,1,01,ordinary,20200807,,44050,,07/08/2020,,1106,4DMEDICAL LIMITED,4DMEDICAL LIMITED,07/08/2020,,35100000,14,35,,,,,0C0000BXWA,0P0001KHAB,,,4DX
4wd1,4WD,4WD,1,01,ordinary,20161221,20180122,42725,43122,21/12/2016,22/01/2018,225,AUTOMOTIVE SOLUTIONS GROUP LTD,AUTO SOLUTIONS LTD,21/12/2016,22/01/2018,25100000,7,25,A,ama2,ama group limited offered 35 cents per {4wd1},,0C0000B6UA,0P00019GBU,,,4WD
5gg1,5GG,5GG,1,01,ordinary,20210129,,44225,,29/01/2021,,978,PENTANET LIMITED,PENTANET,29/01/2021,,50100000,23,50,,,,,0C0000C1PM,0P0001LL8Y,,,5GG
5gn1,5GN,5GN,1,01,ordinary,20171117,20211126,43056,44526,17/11/2017,26/11/2021,990,5G NETWORKS LIMITED,5G NETWORKS LIMITED,17/11/2017,26/11/2021,50100000,23,50,S;R;M,mlb2,webcentral offers two {mlb2} for each one share,,0C0000BCQP,0P0001BUV5,,,5GN1
5gov1,5GO,5GOV,1,07,etf units,20230928,,45197,,28/09/2023,,278,VANECK 5-10 YEAR AUSTRALIAN GOVERNMENT BOND ETF,VANECK 5-10 YR GOV,28/09/2023,,0,26,70,,,,,,,,,5GOV
7891,789,789,1,01,nsx - ordinary,20190304,20220110,43528,44571,04/03/2019,10/01/2022,0,789 HOLDINGS LIMITED,789 HOLDINGS LTD,04/03/2019,10/01/2022,0,26,70,U-x,,,,0C0000BQ4F,0P0001INNV,,,
8191,819,819,1,01,ssx - ordinary,20151009,20170301,42286,42795,09/10/2015,01/03/2017,0,SANHE BUILDING MATERIALS TECHNOLOGY COMPANY LTD,SANHE BLDG TECH,09/10/2015,01/03/2017,0,26,70,R-apx,,,,,,,,
8331,833,833,1,01,ssx - ordinary,20201124,20230424,44159,45040,24/11/2020,24/04/2023,0,WEST COAST AQUACULTURE GROUP LTD,WEST COAST,24/11/2020,24/04/2023,0,26,70,U-x,,,,,,,,
8681,868,868,1,01,ssx - ordinary,20150619,20190118,42174,43483,19/06/2015,18/01/2019,0,AUS SANTIA JINNAI CULTURE DEVELOPMENT HDGS GRP LTD,AUST SANTIA JINNAI,19/06/2015,18/01/2019,0,26,70,U-x,,,,0C0000AXV7,0P000168YY,,,
88a1,88A,88A,1,01,ssx - ordinary,20210226,,44253,,26/02/2021,,0,AHP GROUP LIMITED,AHP GROUP LIMITED,26/02/2021,,0,26,70,,,,,,,,,
8991,899,899,1,01,ssx - ordinary,20170626,,42912,,26/06/2017,,0,G-LINK INTERNATIONAL LIMITED,G-LINK,26/06/2017,,0,26,70,,,,,,,,,
8co1,8CO,8CO,1,01,ordinary,20140827,,41878,,27/08/2014,,1618,8COMMON LIMITED,8COMMON LIMITED,27/08/2014,,45100000,21,45,,,,,0C0000APWU,0P00013Y31,,,8CO
8ec1,8EC,8EC,1,01,ordinary,20151201,20201122,42339,44157,01/12/2015,22/11/2020,715,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,8EC,8ECDA,1,01,deferred settlement,20201123,20201130,44158,44165,23/11/2020,30/11/2020,1,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,8EC,8EC,1,01,ordinary,20201201,20210928,44166,44467,01/12/2020,28/09/2021,1,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,8EC,8ECDB,1,01,deferred settlement,20210929,20211007,44468,44476,29/09/2021,07/10/2021,1,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,8EC,8EC,1,01,ordinary,20211008,20211010,44477,44479,08/10/2021,10/10/2021,0,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,N,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,LAN,LAN,1,01,ordinary,20211011,20221017,44480,44851,11/10/2021,17/10/2022,0,LANYON INVESTMENT COMPANY LIMITED,LANYON INVESTMENT,01/12/2015,17/10/2022,0,26,70,E,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ep1,8EP,8EP,1,01,nsx - ordinary,20170116,20170117,42751,42752,16/01/2017,17/01/2017,0,E-PLUS LIMITED,E-PLUS LIMITED,16/01/2017,,,,,N,,,,0C0000B71G,0P0001J1XP,,,
8ep1,8EP,8EP,1,01,nsx - ordinary,20170118,,42753,,18/01/2017,,0,E-PLUS LTD,E-PLUS LTD,16/01/2017,,0,26,70,,,,,0C0000B71G,0P0001J1XP,,,
8hf1,8HF,8HF,1,01,ssx - ordinary,20160118,20180411,42387,43201,18/01/2016,11/04/2018,0,HONGFA GROUP (AUSTRALIA) LIMITED,HONGFA GRP AUS LTD,18/01/2016,11/04/2018,0,26,70,R,,,,,,,,
8ih1,8IH,8IH,1,01,cdi 1:1,20141217,,41990,,17/12/2014,,1710,8I HOLDINGS LTD,8I HOLDINGS LTD,17/12/2014,,40200000,17,40,,,,,0C0000ASM2,0P000152U2,,,8IH
8sa1,8SA,8SA,1,01,ssx - ordinary,20140306,20180813,41704,43325,06/03/2014,13/08/2018,0,AUSTRALIAN SAMLY HOLDINGS GROUP LIMITED,AUST SAMLY HOLDINGS,06/03/2014,13/08/2018,0,26,70,U-x,,{8sa1} is listed on the Asia Pacific Stock Exchange (APX); not the ASX,,0C0000AL78,0P00012BRL,,,
8tm1,8TM,8TM,1,01,ssx - ordinary,20200804,20210409,44047,44295,04/08/2020,09/04/2021,0,TORQUE METALS LIMITED,TORQUE METALS LTD,04/08/2020,09/04/2021,0,26,70,U-x,,,,0C0000BJPW,0P0001MRWJ,,,TOR
8zh1,8ZH,8ZH,1,01,ssx - ordinary,20140306,20180919,41704,43362,06/03/2014,19/09/2018,0,ZHONGHUANYUN HOLDINGS GROUP LIMITED,ZHONGHUANYUN,06/03/2014,19/09/2018,0,26,70,U-x,,{8zh1} is listed on the Asia Pacific Stock Exchange (APX); not the ASX,,0C0000AL79,0P00012BRM,,,
92e_1,92E,92E,1,01,ordinary,20210415,20240412,44301,45394,15/04/2021,12/04/2024,741,92 ENERGY LIMITED,92ENERGY,15/04/2021,12/04/2024,10100000,1,10,S;R;M,,atha energy corp (CSE listed) offers 0.5834 atha shares per each {92e_1},,0C0000C3EZ,0P0001M4PD,,,92E
9sp1,9SP,9SP,1,01,ordinary,20160609,20221128,42530,44893,09/06/2016,28/11/2022,1419,9 SPOKES INTERNATIONAL LIMITED,9 SPOKES INT LIMITED,09/06/2016,28/11/2022,45100000,21,45,R,,,,0C0000B4CQ,0P000185ND,,,9SP
a011,A01,A01,1,01,nsx - cdi 1:1,20170227,20211208,42793,44538,27/02/2017,08/12/2021,0,ANGY (CHINA) MEDICAL LIMITED,ANGY (CHINA) MEDICAL,27/02/2017,08/12/2021,0,26,70,U-x,,,,,,,,
a111,A11,A11,1,01,ordinary,20220926,,44830,,26/09/2022,,568,ATLANTIC LITHIUM LIMITED,ATLANTIC LITHIUM,26/09/2022,,15104000,3,15,,,,,0C0000AUHS,0P00015D3E,,,A11
a1c1,A1C,A1C,1,01,ordinary,20171201,20190517,43070,43602,01/12/2017,17/05/2019,159,AIC RESOURCES LIMITED,AIC RESOURCES,01/12/2017,17/05/2019,15104000,3,15,A,tai1,intrepid mines limited offers one {tai1} for each two {a1c},,0C0000BDBY,0P0001CBNK,,,A1C
a1g1,A1G,A1G,1,01,ordinary,20190214,,43510,,14/02/2019,,1227,AFRICAN GOLD LTD.,AFRICAN GOLD LTD.,14/02/2019,,15104000,3,15,,,,,0C0000BKFI,0P0001FTMP,,,A1G
a2001,A20,A200,1,07,etf units,20180508,,43228,,08/05/2018,,1686,BETASHARES AUSTRALIA 200 ETF,BETAAUSTRALIA200ETF,08/05/2018,,0,26,70,,,,,,,,,A200
a2a1,A2A,A2A,1,01,nsx - ordinary,20180619,20240916,43270,45551,19/06/2018,16/09/2024,0,A2A GN LTD,A2A GN LTD,19/06/2018,17/09/2024,0,26,70,U-x,,,,0C0000BQ0K,0P0001IMHE,,,
a2h1,A2H,A2H,1,01,nsx - cdi 1:1,20160509,20161222,42499,42726,09/05/2016,22/12/2016,0,ANTI-AGING HOUSE HOLD LIMITED,ANTI-AGING HOUSE,09/05/2016,,,,,C,,,,0C0000BQA9,,,,
a2h1,A2H,A2HDA,1,01,deferred settlement,20161223,20170104,42727,42739,23/12/2016,04/01/2017,0,ANTI-AGING HOUSE HOLD LIMITED,ANTI-AGING HOUSE,09/05/2016,,,,,C,,,,0C0000BQA9,,,,
a2h1,A2H,A2H,1,01,nsx - cdi 1:1,20170105,,42740,,05/01/2017,,0,ANTI-AGING HOUSE HOLD LIMITED,ANTI-AGING HOUSE,09/05/2016,,0,26,70,,,,,0C0000BQA9,,,,
a2m1,A2M,A2M,1,01,ordinary,20150331,,42094,,31/03/2015,,2468,THE A2 MILK COMPANY LIMITED,THE A2 MILK COMPANY,31/03/2015,,30200000,13,30,,,,,0C0000189W,0P00015NU3,,,A2M
a3d1,A3D,A3D,1,01,ordinary,20160816,,42598,,16/08/2016,,2036,AURORA LABS LIMITED,AURORA LABS LIMITED,16/08/2016,,20100000,4,20,,,,,0C0000B585,0P00018J4P,,,A3D
a401,A40,A40,1,01,ordinary,20181205,20190724,43439,43670,05/12/2018,24/07/2019,136,ALLIANCE MINERAL ASSETS LIMITED,ALLIANCE MINERAL,05/12/2018,01/10/2020,15104000,3,15,N,,,,0C0000APD3,0P0001F6UN,,,A40
a401,A40,A40,1,01,ordinary,20190725,20201001,43671,44105,25/07/2019,01/10/2020,12,ALITA RESOURCES LIMITED,ALITARES,05/12/2018,01/10/2020,15104000,3,15,E,,,,0C0000APD3,0P0001F6UN,,,A40
a881,A88,A88,1,01,nsx - ordinary,20140905,,41887,,05/09/2014,,0,ADVANCETC LIMITED,ADVANCETC LIMITED,05/09/2014,,0,26,70,,,,,0C0000BRE8,0P0001JS63,,,
a8g1,A8G,A8G,1,01,ordinary,20210513,20211202,44329,44532,13/05/2021,02/12/2021,131,AUSTRALASIAN GOLD LIMITED,AUSTRALASIAN GOLD,13/05/2021,,15104000,3,15,N,,,,0C0000C3OF,0P0001M7PO,,,A8G
a8g1,A8G,A8G,1,01,ordinary,20211203,,44533,,03/12/2021,,631,AUSTRALASIAN METALS LIMITED,AUSTRALASIAN METALS,13/05/2021,,15104000,3,15,,,,,0C0000C3OF,0P0001M7PO,,,A8G
aaa1,AAA,AAA,1,01,ordinary,19941102,20000111,34640,36536,02/11/1994,11/01/2000,2,ACACIA RESOURCES LIMITED,ACACIA RESOURCES,02/11/1994,11/01/2000,,3,15,A,,anglogold investments australia pty ltd,,0C00008WZJ,0P0001CZC5,,,AAA1
aaa2,AAA,AAA,1,07,etf units,20120307,,40975,,07/03/2012,,3232,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,BETASHARESCASHETF,07/03/2012,,0,26,70,,,,,,,,,AAA
aab1,AAB,AAB,1,06,units,20020918,20041018,37517,38278,18/09/2002,18/10/2004,180,ABSOLUTE RETURN FUND (THE),ABSOLUTE RETURN FUND,18/09/2002,18/10/2004,0,26,70,R,,listing rule 17.11,,,,,,AAB
aac2,AAC,AAC,1,01,ordinary,20010810,,37113,,10/08/2001,,5909,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AUSTRALIAN AGRICULT.,10/08/2001,,30200000,13,30,,,,,0C00000LA9,0P00006W9O,,,AAC
aag2,AAG,AAG,1,01,ordinary,20070810,20110506,39304,40669,10/08/2007,06/05/2011,606,ARAGON RESOURCES LIMITED,ARAGON RESOURCES,10/08/2007,06/05/2011,15104000,3,15,A,wgr1,westgold resources limited,,0C00000VH2,0P0000A1OA,,,AAG
aai2,AAI,AAI,1,01,cdi 1:1 for. exempt,20000816,20161005,36754,42648,16/08/2000,05/10/2016,523,ALCOA INC,ALCOA INC,16/08/2000,17/10/2016,15104000,3,15,C,,,,0C000009BT,0P00006XU1,,,AAI1
aai2,AAI,AAIDA,1,01,cdi def settlement,20161006,20161011,42649,42654,06/10/2016,11/10/2016,1,ALCOA INC,ALCOA INC,16/08/2000,17/10/2016,15104000,3,15,C,,,,0C000009BT,0P00006XU1,,,AAI1
aai2,AAI,AAI,1,01,cdi 1:1 for. exempt,20161012,20161017,42655,42660,12/10/2016,17/10/2016,0,ALCOA INC,ALCOA INC,16/08/2000,17/10/2016,15104000,3,15,R;I,,low level of CDI turnover relative to NYSE listing. NYSE listing to remain,,0C000009BT,0P00006XU1,,,AAI1
aai3,AAI,AAI,1,01,cdi 1:1 for. exempt,20240724,,45497,,24/07/2024,,113,ALCOA CORPORATION,ALCOA CORPORATION,24/07/2024,,15104000,3,15,,,,,0C0000B61W,0P00018WO0,,,AAI
aaj1,AAJ,AAJ,1,01,ordinary,20100723,20210117,40382,44213,23/07/2010,17/01/2021,1461,ARUMA RESOURCES LIMITED,ARUMA RESOURCES LTD,23/07/2010,,15104000,3,15,C,,,,0C00004VTK,0P0000O2RT,,,AAJ
aaj1,AAJ,AAJDA,1,01,deferred settlement,20210118,20210127,44214,44223,18/01/2021,27/01/2021,7,ARUMA RESOURCES LIMITED,ARUMA RESOURCES LTD,23/07/2010,,15104000,3,15,C,,,,0C00004VTK,0P0000O2RT,,,AAJ
aaj1,AAJ,AAJ,1,01,ordinary,20210128,,44224,,28/01/2021,,894,ARUMA RESOURCES LIMITED,ARUMA RESOURCES LTD,23/07/2010,,15104000,3,15,,,,,0C00004VTK,0P0000O2RT,,,AAJ
aal1,AAL,AAL,1,01,ordinary,20080710,20180124,39639,43124,10/07/2008,24/01/2018,331,APAC COAL LIMITED,APAC COAL,10/07/2008,,10100000,1,10,C,,,,0C000014EK,0P0000FTSP,,,CI1
aal1,AAL,AALDA,1,01,deferred settlement,20180125,20180205,43125,43136,25/01/2018,05/02/2018,1,APAC COAL LIMITED,APAC COAL,10/07/2008,,10100000,1,10,C,,,,0C000014EK,0P0000FTSP,,,CI1
aal1,AAL,AAL,1,01,ordinary,20180206,20180527,43137,43247,06/02/2018,27/05/2018,3,APAC COAL LIMITED,APAC COAL,10/07/2008,,10100000,1,10,N,,,,0C000014EK,0P0000FTSP,,,CI1
aal1,CI1,CI1,1,01,ordinary,20180528,20220502,43248,44683,28/05/2018,02/05/2022,841,CREDIT INTELLIGENCE LTD,CREDIT INTELLIGENCE,10/07/2008,,20200000,5,20,C,,,,0C000014EK,0P0000FTSP,,,CI1
aal1,CI1,CI1DB,1,01,deferred settlement,20220503,20220511,44684,44692,03/05/2022,11/05/2022,7,CREDIT INTELLIGENCE LTD,CREDIT INTELLIGENCE,10/07/2008,,20200000,5,20,C,,,,0C000014EK,0P0000FTSP,,,CI1
aal1,CI1,CI1,1,01,ordinary,20220512,,44693,,12/05/2022,,419,CREDIT INTELLIGENCE LTD,CREDIT INTELLIGENCE,10/07/2008,,20200000,5,20,,,,,0C000014EK,0P0000FTSP,,,CI1
aal2,AAL,AAL,1,01,ordinary,20240628,,45471,,28/06/2024,,126,ALFABS AUSTRALIA LIMITED,ALFABS AUSTRALIA,28/06/2024,,20100000,4,20,,,,,0C0000EKP0,0P0001T48D,,,AAL
aam1,AAM,AAM,1,01,ordinary,20031205,20111212,37960,40889,05/12/2003,12/12/2011,1875,A1 MINERALS LIMITED,A1 MINERALS LIMITED,05/12/2003,,15104000,3,15,N,,,,0C00000L5N,0P00006XTD,,,BTR
aam1,SHK,SHK,1,01,ordinary,20111213,20201213,40890,44178,13/12/2011,13/12/2020,901,STONE RESOURCES AUSTRALIA LIMITED,STONE RESOURCES AUS,05/12/2003,,15104000,3,15,N,,,,0C00000L5N,0P00006XTD,,,BTR
aam1,BTR,BTR,1,01,ordinary,20201214,,44179,,14/12/2020,,974,BRIGHTSTAR RESOURCES LIMITED,BRIGHTSTAR RESOURCES,05/12/2003,,15104000,3,15,,,,,0C00000L5N,0P00006XTD,,,BTR
aan2,AAN,AAN,1,01,ordinary,20061012,20061031,39002,39021,12/10/2006,31/10/2006,14,ALINTA MERGECO LIMITED,ALINTA MERGECO LTD,12/10/2006,06/09/2007,55100000,25,55,N,aln2; agl1; agk1,formed from merger between alinta ltd and australian gas light company,,0C00000M6E,0P00006W7U,,,AAN
aan2,AAN,AAN,1,01,ordinary,20061101,20070906,39022,39331,01/11/2006,06/09/2007,192,ALINTA LIMITED,ALINTA LIMITED,12/10/2006,06/09/2007,55100000,25,55,R;A,bep1; bnb1; pif1; bbp1; bbw1,bbi eps limited acting for babcock & brown limited; babcock & brown infrastructure; babcock & brown power; babcock & brown wind partners; singapore power international pte ltd,,0C00000M6E,0P00006W7U,,,AAN
aao1,AAO,AAO,1,01,ordinary,20060118,20100726,38735,40385,18/01/2006,26/07/2010,758,AUSTRALASIA GOLD LIMITED,AUSTRALASIA GOLD,18/01/2006,,15104000,3,15,N,,,,0C00000LA6,0P00006XUU,,,EML
aao1,AAO,AAO,1,01,ordinary,20100727,20110630,40386,40724,27/07/2010,30/06/2011,201,AUSTRALASIA CONSOLIDATED LIMITED,AUSTRALASIA CONS LTD,18/01/2006,,15104000,3,15,N,,,,0C00000LA6,0P00006XUU,,,EML
aao1,AAO,AAODA,1,01,deferred settlement,20110701,20110714,40725,40738,01/07/2011,14/07/2011,1,AUSTRALASIA CONSOLIDATED LIMITED,AUSTRALASIA CONS LTD,18/01/2006,,15104000,3,15,C,,,,0C00000LA6,0P00006XUU,,,EML
aao1,AAO,AAO,1,01,ordinary,20110715,20110718,40739,40742,15/07/2011,18/07/2011,1,AUSTRALASIA CONSOLIDATED LIMITED,AUSTRALASIA CONS LTD,18/01/2006,,15104000,3,15,N,,,,0C00000LA6,0P00006XUU,,,EML
aao1,AAO,AAO,1,01,ordinary,20110719,20121121,40743,41234,19/07/2011,21/11/2012,200,ADEPT SOLUTIONS LIMITED,ADDEPT SOLUTIONS LTD,18/01/2006,,40200000,17,40,N,,,,0C00000LA6,0P00006XUU,,,EML
aao1,EML,EML,1,01,ordinary,20121122,20161128,41235,42702,22/11/2012,28/11/2016,962,EMERCHANTS LIMITED,EMERCHANTS LTD,18/01/2006,,40200000,17,40,N,,,,0C00000LA6,0P00006XUU,,,EML
aao1,EML,EML,1,01,ordinary,20161129,,42703,,29/11/2016,,2040,EML PAYMENTS LIMITED,EML PAYMENTS LTD,18/01/2006,,40200000,17,40,,,,,0C00000LA6,0P00006XUU,,,EML
aap1,AAP,AAP,1,01,ordinary,19971107,20001109,35741,36839,07/11/1997,09/11/2000,215,AAPT LIMITED,AAPT LIMITED,07/11/1997,09/11/2000,,23,50,A,,tcnz australia investments pty ltd,,0C00008WZL,0P0001D02D,,,AAP1
aaq1,AAQ,AAQ,1,01,ordinary,20040804,20090427,38203,39930,04/08/2004,27/04/2009,1044,AUSTRALIS AQUACULTURE LIMITED,AUSTRALIA AQUA,04/08/2004,,30200000,13,30,N,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,AAQ,AAQ,1,01,ordinary,20090428,20101221,39931,40533,28/04/2009,21/12/2010,0,AAQ HOLDINGS LIMITED,AAQ HOLDINGS LTD,04/08/2004,,30200000,13,30,C,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,AAQ,AAQDA,1,01,deferred settlement,20101222,20110110,40534,40553,22/12/2010,10/01/2011,1,AAQ HOLDINGS LIMITED,AAQ HOLDINGS LTD,04/08/2004,,30200000,13,30,C,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,AAQ,AAQ,1,01,ordinary,20110111,20130206,40554,41311,11/01/2011,06/02/2013,343,AAQ HOLDINGS LIMITED,AAQ HOLDINGS LTD,04/08/2004,,30200000,13,30,N,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,FRN,FRN,1,01,ordinary,20130207,20130212,41312,41317,07/02/2013,12/02/2013,0,FRASER RANGE METALS GROUP LTD,FRASER RANGE METALS,04/08/2004,,30200000,13,30,C,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,FRN,FRNDC,1,01,deferred settlement,20130213,20130226,41318,41331,13/02/2013,26/02/2013,1,FRASER RANGE METALS GROUP LTD,FRASER RANGE METALS,04/08/2004,,30200000,13,30,C,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,FRN,FRN,1,01,ordinary,20130227,20200722,41332,44034,27/02/2013,22/07/2020,781,FRASER RANGE METALS GROUP LTD,FRASER RANGE METALS,04/08/2004,,15104000,3,15,N,,,,0C00000LAV,0P00006XV4,,,WC8
aaq1,WC8,WC8,1,01,ordinary,20200723,,44035,,23/07/2020,,1088,WILDCAT RESOURCES LIMITED,WILDCAT RESOURCES,04/08/2004,,15104000,3,15,,,,,0C00000LAV,0P00006XV4,,,WC8
aar1,AAR,AAR,1,01,ordinary,19861113,20131202,31729,41610,13/11/1986,02/12/2013,2948,ANGLO AUSTRALIAN RESOURCES NL,ANGLO AUSTRALIAN,13/11/1986,,15104000,3,15,C,,,,0C00000L8I,0P00006W8J,,,AAR
aar1,AAR,AARDA,1,01,deferred settlement,20131203,20131217,41611,41625,03/12/2013,17/12/2013,1,ANGLO AUSTRALIAN RESOURCES NL,ANGLO AUSTRALIAN,13/11/1986,,15104000,3,15,C,,,,0C00000L8I,0P00006W8J,,,AAR
aar1,AAR,AAR,1,01,ordinary,20131218,20220501,41626,44682,18/12/2013,01/05/2022,1648,ANGLO AUSTRALIAN RESOURCES NL,ANGLO AUSTRALIAN,13/11/1986,,15104000,3,15,N,,,,0C00000L8I,0P00006W8J,,,AAR
aar1,AAR,AAR,1,01,ordinary,20220502,,44683,,02/05/2022,,621,ASTRAL RESOURCES NL,ASTRAL RESOURCES NL,13/11/1986,,15104000,3,15,,,,,0C00000L8I,0P00006W8J,,,AAR
aasf1,AAS,AASF,1,36,tmf units,20200604,,43986,,04/06/2020,,1132,AIRLIE AUSTRALIAN SHARE FUND (MANAGED FUND),AIRLIE AUS FUND,04/06/2020,,0,26,70,,,,,,,,,AASF
aat1,AAT,AAT,1,01,ordinary,19991005,20000717,36438,36724,05/10/1999,17/07/2000,131,AUSTRALASIAN TECHNOLOGY CORPORATION LIMITED,AUSTRALASIAN TECH,30/01/1986,04/01/2016,,22,45,N,,,,0C00000LB0,0P00006WA5,,,AAT
aat1,AAT,AAT,1,01,ordinary,20000718,20000726,36725,36733,18/07/2000,26/07/2000,7,AUTRON CORPORATION LIMITED,AUTRON CORPORATION,30/01/1986,04/01/2016,,22,45,C,,,,0C00000LB0,0P00006WA5,,,AAT
