Gcode,CompanyTicker,SecurityTicker,SeniorSecurity,SecurityType,AbreviatedSecurityDescription,ListDate_YMD,DelistDate_YMD,ListDate_DaysSince,DelistDate_DaysSince,ListDate,DelistDate,RecordCount,FullCompanyName,AbbrevCompanyName,EarliestListDate,LatestDelistDate,GICSIndustry,SIRCAIndustryClassCode,SIRCASectorCode,CompanyDelistReasonCode,CompanyRelatedGCode,CompanyDelistReasonComment,AlteredLink,MS_CompanyID,MS_SecurityID,MS_CompanyID2,MS_SecurityID2,MA_Identifier
cea1,TML,TMLDA,1,01,deferred settlement,20011224,20020108,37249,37264,24/12/2001,08/01/2002,1,TIMEMAC SOLUTIONS LIMITED,TIMEMAC SOLUTIONS,23/07/1987,,45101010,21,45,C,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,TML,TML,1,01,ordinary,20020109,20021211,37265,37601,09/01/2002,11/12/2002,0,TIMEMAC SOLUTIONS LIMITED,TIMEMAC SOLUTIONS,23/07/1987,,45100000,21,45,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MUS,MUS,1,01,ordinary,20021212,20031006,37602,37900,12/12/2002,06/10/2003,67,MUSTANG GROUP LIMITED,MUSTANG GROUP,23/07/1987,,45100000,21,45,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MUS,MUSDA,1,01,deferred settlement,20031007,20031017,37901,37911,07/10/2003,17/10/2003,1,MUSTANG GROUP LIMITED,MUSTANG GROUP,23/07/1987,,45100000,21,45,C,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MUS,MUS,1,01,ordinary,20031018,20031105,37912,37930,18/10/2003,05/11/2003,0,MUSTANG GROUP LIMITED,MUSTANG GROUP,23/07/1987,,45100000,21,45,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MHL,MHL,1,01,ordinary,20031106,20040707,37931,38175,06/11/2003,07/07/2004,22,METABOLISM HEALTH LIMITED,METABOLISM HEALTH,23/07/1987,,35100000,14,35,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MHL,MHLDC,1,01,deferred settlement,20040708,20040720,38176,38188,08/07/2004,20/07/2004,1,METABOLISM HEALTH LIMITED,METABOLISM HEALTH,23/07/1987,,35100000,14,35,C,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MHL,MHL,1,01,ordinary,20040721,20040725,38189,38193,21/07/2004,25/07/2004,0,METABOLISM HEALTH LIMITED,METABOLISM HEALTH,23/07/1987,,35100000,14,35,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MHL,MHL,1,01,ordinary,20040726,20051205,38194,38691,26/07/2004,05/12/2005,169,M HEALTH LIMITED,M HEALTH LIMITED,23/07/1987,,35100000,14,35,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MHL,MHL,1,01,ordinary,20051206,20070418,38692,39190,06/12/2005,18/04/2007,315,MONITOR HOLDINGS LTD,MONITOR HOLDINGS LTD,23/07/1987,,35100000,14,35,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,MHL,MHL,1,01,ordinary,20070419,20110818,39191,40773,19/04/2007,18/08/2011,978,MONITOR ENERGY LIMITED,MONITOR ENERGY LTD,23/07/1987,,10100000,1,10,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,OGY,OGY,1,01,ordinary,20110819,20111208,40774,40885,19/08/2011,08/12/2011,59,ORCA ENERGY LIMITED,ORCA ENERGY LIMITED,23/07/1987,,10100000,1,10,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,OGY,OGYDA,1,01,deferred settlement,20111209,20111223,40886,40900,09/12/2011,23/12/2011,7,ORCA ENERGY LIMITED,ORCA ENERGY LIMITED,23/07/1987,,10100000,1,10,C,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,OGY,OGY,1,01,ordinary,20111224,20180416,40901,43206,24/12/2011,16/04/2018,896,ORCA ENERGY LIMITED,ORCA ENERGY LIMITED,23/07/1987,,10100000,1,10,C,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,OGY,OGYDE,1,01,deferred settlement,20180417,20180426,43207,43216,17/04/2018,26/04/2018,1,ORCA ENERGY LIMITED,ORCA ENERGY LIMITED,23/07/1987,,10100000,1,10,C,,,,0C00000LYV,0P00006Y3I,,,FIN
